card_id,url_front_preprocessed,url_back_preprocessed,price_radar.suggested
S07529-09-00001-11,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00001-11_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00001-11_back_preprocessed.png,4.66
S07529-09-00000-11,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00000-11_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00000-11_back_preprocessed.png,4.66
S07529-09-00002-11,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00002-11_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00002-11_back_preprocessed.png,4.66
S07529-09-00004-11,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00004-11_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00004-11_back_preprocessed.png,13.69
S07529-09-00006-11,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00006-11_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00006-11_back_preprocessed.png,13.69
S07529-09-00009-11,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00009-11_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00009-11_back_preprocessed.png,13.69
S07529-09-00012-11,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00012-11_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00012-11_back_preprocessed.png,13.69
S07529-09-00013-11,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00013-11_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00013-11_back_preprocessed.png,13.69
S07529-09-00016-11,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00016-11_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00016-11_back_preprocessed.png,13.69
S07529-09-00018-11,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00018-11_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00018-11_back_preprocessed.png,13.69
S07529-09-00022-11,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00022-11_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00022-11_back_preprocessed.png,8.67
S07529-09-00024-11,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00024-11_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00024-11_back_preprocessed.png,11.19
S07529-09-00027-11,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00027-11_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00027-11_back_preprocessed.png,5.17
S07529-09-00030-11,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00030-11_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00030-11_back_preprocessed.png,8.74
S07529-09-00031-11,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00031-11_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00031-11_back_preprocessed.png,11.81
S07529-09-00032-11,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00032-11_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00032-11_back_preprocessed.png,11.81
S07529-09-00036-11,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00036-11_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00036-11_back_preprocessed.png,0
S07529-09-00035-11,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00035-11_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00035-11_back_preprocessed.png,0
S07529-09-00044-11,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00044-11_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00044-11_back_preprocessed.png,20.13
S07529-09-00047-11,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00047-11_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00047-11_back_preprocessed.png,9.01
S07529-09-00003-11,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00003-11_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00003-11_back_preprocessed.png,4.66
S07529-09-00005-11,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00005-11_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00005-11_back_preprocessed.png,13.69
S07529-09-00008-11,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00008-11_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00008-11_back_preprocessed.png,13.69
S07529-09-00007-11,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00007-11_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00007-11_back_preprocessed.png,13.69
S07529-09-00010-11,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00010-11_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00010-11_back_preprocessed.png,13.69
S07529-09-00011-11,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00011-11_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00011-11_back_preprocessed.png,13.69
S07529-09-00015-11,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00015-11_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00015-11_back_preprocessed.png,13.69
S07529-09-00019-11,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00019-11_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00019-11_back_preprocessed.png,13.69
S07529-09-00025-11,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00025-11_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00025-11_back_preprocessed.png,0
S07529-09-00014-11,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00014-11_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00014-11_back_preprocessed.png,13.69
S07529-09-00017-11,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00017-11_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00017-11_back_preprocessed.png,13.69
S07529-09-00023-11,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00023-11_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S07529-09-00023-11_back_preprocessed.png,8.3
